Date : 2024-01-05 20:02:42
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 122 files,  10780 codes, 763 comments, 799 blanks, all 12342 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Eastern_Suburbs_colours.svg                             | XML          |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Gold_Coast_Titans_colours.svg                           | XML          |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Manly_Sea_Eagles_colours.svg                            | XML          |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Melbourne_colours.svg                                   | XML          |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Newcastle_colours.svg                                   | XML          |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/North_Queensland_colours.svg                            | XML          |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Parramatta_colours.svg                                  | XML          |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Penrith_Panthers_square_flag_icon_with_2020_colours.svg | XML          |         16 |          1 |          1 |         18 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/South_Sydney_colours.svg                                | XML          |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/St._George_colours.svg                                  | XML          |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Wests_Tigers_colours.svg                                | XML          |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl.svg                                                 | XML          |         37 |          1 |          1 |         39 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl.svg                                                 | XML          |          1 |          0 |          0 |          1 |
| /Users/richardtozer/dev/projects/daufootytipping/cleanup.sh                                                           | Shell Script |         25 |          5 |          4 |         34 |
| /Users/richardtozer/dev/projects/daufootytipping/database.rules.json                                                  | JSON         |          6 |          1 |          0 |          7 |
