"filename", "language", "XML", "Markdown", "CMake", "C++", "YAML", "JSON", "HTML", "Shell Script", "TypeScript", "JavaScript", "JSON with Comments", "Dart", "Gradle", "Properties", "Swift", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Cronulla_colours.svg", "XML", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Dolphins_colours.svg", "XML", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Eastern_Suburbs_colours.svg", "XML", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Gold_Coast_Titans_colours.svg", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Manly_Sea_Eagles_colours.svg", "XML", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Melbourne_colours.svg", "XML", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Newcastle_colours.svg", "XML", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/North_Queensland_colours.svg", "XML", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Parramatta_colours.svg", "XML", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 331
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Penrith_Panthers_square_flag_icon_with_2020_colours.svg", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/South_Sydney_colours.svg", "XML", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/St._George_colours.svg", "XML", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Wests_Tigers_colours.svg", "XML", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
"/Users/richardtozer/dev/projects/daufootytipping/cspell.config.yaml", "YAML", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 94
"/Users/richardtozer/dev/projects/daufootytipping/database.rules.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/richardtozer/dev/projects/daufootytipping/devtools_options.yaml", "YAML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
