Date : 2023-12-16 21:26:54
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 107 files,  9960 codes, 696 comments, 655 blanks, all 11311 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Penrith_Panthers_square_flag_icon_with_2020_colours.svg | XML        |         16 |          1 |          1 |         18 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/South_Sydney_colours.svg                                | XML        |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/St._George_colours.svg                                  | XML        |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Wests_Tigers_colours.svg                                | XML        |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl.svg                                                 | XML        |         37 |          1 |          1 |         39 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl.svg                                                 | XML        |          1 |          0 |          0 |          1 |
| /Users/richardtozer/dev/projects/daufootytipping/database.rules.json                                                  | JSON       |          6 |          1 |          0 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/devtools_options.yaml                                                | YAML       |          1 |          0 |          1 |          2 |
| /Users/richardtozer/dev/projects/daufootytipping/firebase.json                                                        | JSON       |         17 |          0 |          1 |         18 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/AppDelegate.swift                                         | Swift      |         21 |          0 |          3 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json          | JSON       |        122 |          0 |          1 |        123 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json        | JSON       |         23 |          0 |          1 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md            | Markdown   |          3 |          0 |          2 |          5 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Base.lproj/LaunchScreen.storyboard                        | XML        |         36 |          1 |          1 |         38 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Base.lproj/Main.storyboard                                | XML        |         28 |          1 |          1 |         30 |
