"filename", "language", "XML", "Shell Script", "JSON", "YAML", "Dart", "Markdown", "Gradle", "Properties", "HTML", "C++", "JavaScript", "CSS", "Objective-C", "Swift", "Java", "Batch", "PowerShell", "Groovy", "Ruby", "TypeScript", "JSON with Comments", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Gold_Coast_Titans_colours.svg", "XML", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 221
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Manly_Sea_Eagles_colours.svg", "XML", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Melbourne_colours.svg", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Newcastle_colours.svg", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/North_Queensland_colours.svg", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Parramatta_colours.svg", "XML", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Penrith_Panthers_square_flag_icon_with_2020_colours.svg", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/South_Sydney_colours.svg", "XML", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/St._George_colours.svg", "XML", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Wests_Tigers_colours.svg", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/html/recaptcha.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
