"filename", "language", "Shell Script", "YAML", "C++", "JSON", "Dart", "TypeScript", "JSON with Comments", "JavaScript", "XML", "Properties", "Gradle", "Markdown", "Swift", "HTML", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/richardtozer/dev/projects/daufootytipping/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/richardtozer/dev/projects/daufootytipping/ios/ci_scripts/ci_post_clone.sh", "Shell Script", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 36
"/Users/richardtozer/dev/projects/daufootytipping/ios/firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/richardtozer/dev/projects/daufootytipping/lib/extensions/disposesafechangenotifier.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/richardtozer/dev/projects/daufootytipping/lib/firebase_options.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 90
"/Users/richardtozer/dev/projects/daufootytipping/lib/main.dart", "Dart", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 114
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/crowdsourcedscore.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 37
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/daucomp.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 78
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/dauround.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 39
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/devicetoken.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/game.dart", "Dart", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 112
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/game_scoring.dart", "Dart", 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 312
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/league.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/location_latlong.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_leaderboard.dart", "Dart", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 50
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_roundscores.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 66
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_roundwinners.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/team.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 62
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/tipgame.dart", "Dart", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 75
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/tipper.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 12, 103
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/tipperrole.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_edit.dart", "Dart", 0, 0, 0, 0, 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 26, 477
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_list.dart", "Dart", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 97
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_viewmodel.dart", "Dart", 0, 0, 0, 0, 641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 152, 905
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 24
