"filename", "language", "Shell Script", "JSON", "Dart", "TypeScript", "JSON with Comments", "JavaScript", "XML", "YAML", "Gradle", "Swift", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/South_Sydney_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/St._George_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Wests_Tigers_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/cleanup.sh", "Shell Script", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0
"/Users/richardtozer/dev/projects/daufootytipping/database.rules.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/firebase.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"/Users/richardtozer/dev/projects/daufootytipping/functions/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"/Users/richardtozer/dev/projects/daufootytipping/functions/package-lock.json", "JSON", 0, 8321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8322
"/Users/richardtozer/dev/projects/daufootytipping/functions/package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/richardtozer/dev/projects/daufootytipping/functions/src/index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 2, 8
"/Users/richardtozer/dev/projects/daufootytipping/functions/src/services/legacy_service.ts", "TypeScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 16, 15, 139
